Title,URL,Snippets,Location,Category,Award,Date
Apply for Aid - NECC,https://www.necc.mass.edu/admissions/tuition/financial-aid/apply-for-aid/,"You can complete the Free Application for Federal Student Aid (FAFSA) at any time after October 1 to receive funds for the following academic year, but apply as early as possible since some grant funds are distributed on a first-come, first- basis. The priority deadline for the state of Massachusetts is May 1.",Massachusetts,High School/College Student Grants,,
Comprehensive Care for Adults with Type 2 Diabetes Mellitus from Populations with Health Disparities (R01 Clinical Trial Optional),https://grants.gov/search-results-detail/333817,"The purpose of this Funding Opportunity Announcement (FOA) is to support innovative multidisciplinary and multi-level research designed to develop and/or test interventions to optimize care of persons with Type 2 diabetes from populations with health/health care disparities concordant with evidence-based guidelines. NIH-designated health disparity populations include racial and ethnic minorities (Blacks/African Americans, Hispanics/Latinos, American Indians/Alaska Natives, Asians, Native Hawaiians and other Pacific Islanders), sexual and gender minorities, socioeconomically disadvantaged populations, and underserved rural populations. Proposed projects would be expected to develop and/or test patient-centered strategies, which in addition to optimal glycemic control, would aim at completing other recommended guidelines (e.g., annual eye/foot and urine albumin exam, optimal blood pressure control, intake of ACEIs or ARBs/statin/aspirin and influenza/pneumonia vaccines).",Nationwide,Food and Nutrition,500000,"Sep 07, 2024 12:00:00 AM EDT"
Graduate Scholarships for International Students | Apply Now,https://www.educationconnection.com/financial-aid/graduate-scholarships-for-international-students/,"International students interested in attending graduate school in the U.S. have the opportunity to apply for scholarships, which provide free funding that doesn’t require repayment if the terms are met.",Delaware,Graduate School Student Grants,,
Scoliosis Research Society Announces the 2024 Research Grant And Award ...,https://www.srs.org/SRS-News/Scoliosis-Research-Society-Announces-the-2024-Research-Grant-And-Award-Cycle,"Milwaukee, Wisconsin – The Scoliosis Research Society (SRS), opens the 2024 Research Grant and Awards cycle this week with two new opportunities.. First in the Grant opportunities, the Society introduced the 2024 Named Research Grant which is designed to support innovative research in the field of growth modulation of the spine and/or vertebral body tethering (VBT).",Montana,Medical Research Grants,,
Exploratory Grants in Cancer Control (R21 Clinical Trial Optional),https://grants.gov/search-results-detail/336094,"This funding opportunity announcement (FOA) encourages the submission of exploratory/developmental research grant (R21) applications that focus on different aspects of cancer control by modifying behavior, screening, and understanding etiologic factors contributing to the development of cancer, and developing ways to control cancer.  The overarching goal is to provide support to promote the early and conceptual stages of research efforts on novel scientific ideas that have the potential to substantially advance population-based cancer research, such as the development of novel techniques, agents, methodologies, models, or applications that could have a major impact on a field of cancer research (epidemiologic, biomedical, behavioral, health care delivery or clinical).",Nationwide,Education,none,"Oct 08, 2024 12:00:00 AM EDT"
"Systems-Level Risk Detection and Interventions to Reduce Suicide, Ideation, and Behaviors in Youth from Underserved Populations (R34 Clinical Trial Optional)",https://grants.gov/search-results-detail/350073,"The purpose of this R34 NOFO is to provide resources for evaluating the feasibility, acceptability, and safety of novel approaches that are uniquely tailored to the risk profiles of these populations, that will improve outcomes and modify health risk behavior. Resources may also be used for obtaining the preliminary data needed as a prerequisite to a larger-scale (efficacy or effectiveness) services study. The goal is to support research that develops and tests broadly implementable service system interventions to rapidly identify and effectively respond to reduce suicide and suicidal behavior in various groups of at-risk youth. Specifically, the goals of this NOFO are to: 1) develop a multi-level service system intervention that coordinates suicide risk identification, evaluation, and linkage to needed treatment and services for a specifically identified at-risk youth group; 2) test the feasibility and effectiveness of the intervention in detecting and reducing suicide risk and suicidal behavior in the at-risk youth group; and 3) demonstrate the intervention's implementation and potential for future uptake in underserved, under-resourced community settings where additional at-risk youth are most likely to receive care. The ultimate goal of this NOFO is to develop and test the effectiveness of evidence-based strategies for detecting and preventing suicide and suicidal behavior among at-risk youth. It focuses on systems interventions to improve outcomes for youth and is not intended to support the development of new screening tools or assessment instruments.",Nationwide,Health,none,"Feb 20, 2024 12:00:00 AM EST"
How To Apply for a Pell Grant - The Balance,https://www.thebalancemoney.com/should-i-apply-for-a-pell-grant-2386206,"Unlike student loans, Pell Grant funds don’t need to be repaid. For the 2022–23 school year, eligible students can receive up to $6,895 in Pell Grant funds. These grants are also need-based aid, which means that college students must demonstrate “exceptional financial need” to qualify.",California,High School/College Student Grants,,
NIMH Mentoring Networks for Mental Health Research Education (R25 Clinical Trial Not Allowed),https://grants.gov/search-results-detail/346597,"The NIH Research Education Program (R25) supports research education activities in the mission areas of the NIH.  The over-arching goal of this R25 program is to support educational activities that complement and/or enhance the training of a workforce to meet the nations biomedical, behavioral and clinical research needs.",Nationwide,Health,200000,"May 25, 2025 12:00:00 AM EDT"
NIDA REI: Addressing Racial Equity in Substance Use and Addiction Outcomes Through Community-Engaged Research at Minority Serving Institutions (R01 Clinical Trial Optional),https://grants.gov/search-results-detail/343018,"NEPS Concept # 1875 This funding opportunity announcement (FOA)?is a part of?NIDAs Racial Equity Initiative.?This?multi-year,?multi-pronged effort?to address ?racial and ethnic inequities in NIDA's research portfolio. This FOA invites R01 applications to conduct research that will have a major impact in identifying, developing, implementing, or testing strategies to improve outcomes related to substance misuse, with a goal of preventing, reducing, or eliminating disparities in racial and ethnic minority populations in substance use, addiction, and related health consequences, including HIV.  Community engaged research can facilitate rapid advances in this scientific area by ensuring relevant research questions with immediate applicability. As such, applications must be submitted by collaborative community partnered investigative teams who will conduct research projects that address issues prioritized by the relevant communities. No preliminary data are required. However, projects must clearly demonstrate, based on the strength of the logic, a compelling potential to produce desired outcomes.",Nationwide,Education,none,"Nov 14, 2024 12:00:00 AM EST"
"Now open: The New York Life Foundation offers grants up to $100,000 for ...",https://www.afterschoolalliance.org/afterschoolsnack/Now-open-The-New-York-Life-Foundation-offers-grants-up-to-100_12-12-2023.cfm,"The New York Life Foundation’s 2024 Aim High grant competition is now open for applications! A total of 40 grants totaling $1.8 million will be awarded to afterschool, summer, or expanded learning programs serving middle school youth.",Maryland,Youth Support and Leadership Grants,,
How to Apply | Grants | CDC,https://www.cdc.gov/grants/applying/index.html,"Last Reviewed: June 29, 2021. Source: Office of Financial Resources (OFR) The Centers for Disease and Control and Prevention (CDC) uses grants and cooperative agreements to fund research and non-research public health programs that advance the Agency’s public health mission domestically and abroad.",Louisiana,Medical Research Grants,,
Apply for Grant or Scholarship,https://www.thekrcf.org/apply,The applicant must be a Kansas resident for at least four years prior to receipt of the scholarship. Grade point average of at least 3.0 on a 4.0 scale (3.0 GPA must be maintained in college for renewal) This scholarship for non-traditional students will be awarded in memory of Ed Phillips (1953-2013).,Kansas,Graduate School Student Grants,,
Apply for a Grant | Legacy Foundation,https://legacyfdn.org/nonprofits/apply-for-a-grant/,"Knight Grant (Grant Range: Up to $100,000) To support programs and activities serving the residents of Gary, Indiana. June 1: Letter of interest due July 14 : Mid-August",Indiana,Government Organization Grants,,
NHLBI Program Project Applications (P01 Clinical Trials Optional),https://grants.gov/search-results-detail/351057,"The National Heart, Lung, and Blood Institute (NHLBI) Program Project Grant (P01) supports research related to fundamental processes and diseases of the heart, blood and lymphatic vessels, lungs, and blood, including transfusion medicine, blood resources, and sleep disorders other programs including implementation science, health disparities, and translation research that address the mission of the Institute. This FOA requires a minimum of three interrelated research projects that investigate a complex biomedical theme or research question. The projects may be supported by core units, if justified, to facilitate economy of effort, space, and equipment. The NHLBI provides support for Program Project Grants (PPGs) in the belief that collaborative research efforts can accelerate the acquisition of knowledge more effectively than a simple aggregate of research projects that have no interaction or thematic integration. NHLBI is particularly interested in encouraging new scientific directions in PPGs. Use of the P01 activity code is viewed as an opportunity to attract scientists who have not traditionally been supported by the NHLBI. Further, the PPG environment presents an opportunity for emerging scientific leaders to gain insight into how to lead a successful scientific Program, and applicants will have the opportunity to include a project led by an Early Stage Investigator (ESI). All projects in the Program must be interrelated and have objectives that address a central theme within the scientific mandate of the NHLBI.",Nationwide,Health,none,"Sep 25, 2026 12:00:00 AM EDT"
The Intersection of Sex and Gender Influences on Health and Disease (R01 Clinical Trial Optional),https://grants.gov/search-results-detail/344051,"The purpose of this Funding Opportunity Announcement (FOA) is to invite R01 applications on the influence and intersection of sex and gender in health and disease including: (1) research applications that examine sex and gender factors and their intersection in understanding health and disease; and (2) research that addresses one of the five objectives from Strategic Goal 1 of the new 2019-2023 Trans-NIH Strategic Plan for Women's Health Research"" Advancing Science for the Health of Women."" The awards under this FOA will be administered by NIH ICs using funds that have been made available through the Office of Research on Womens Health (ORWH) and the scientific partnering Institutes and Centers across NIH.",Nationwide,Education,350000,"Nov 22, 2024 12:00:00 AM EST"
Biology of Bladder Cancer (R21 Clinical Trial Optional),https://grants.gov/search-results-detail/342744,"This Funding Opportunity Announcement (FOA) solicits applications investigating the biology and underlying mechanisms of bladder cancer. Bladder cancer is a significant health problem both in the United States and globally. Because of the high incidence and frequent tumor recurrence, bladder cancer exacts an outsized medical burden. While recent progress has been made in the molecular profiling of bladder cancers and identification of mutated genes, relatively little is known regarding the molecular mechanisms driving initiation, progression, and malignancy of bladder cancer. Furthermore, our understanding of biological processes of the normal bladder at the molecular, cell and organ levels is limited. Fundamental knowledge of how molecular and cellular functions of the bladder are altered in cancer will aid our understanding of bladder cancer biology and interventions. Applications that involve multidisciplinary teams and use clinical specimens or investigate both normal and cancer processes are encouraged.",Nationwide,Education,275000,"Sep 07, 2025 12:00:00 AM EDT"
"Research on Biopsychosocial Factors of Social Connectedness and Isolation on Health, Wellbeing, Illness, and Recovery (R01 Clinical Trials Not Allowed)",https://grants.gov/search-results-detail/336015,"This funding opportunity announcement (FOA) invites research projects that seek to model the underlying mechanisms, processes, and trajectories of social relationships and how these factors affect outcomes in health, illness, recovery, and overall wellbeing. Both animal and human subjects research projects are welcome. Researchers proposing basic science experimental studies involving human participants should consider the companion FOA TEMP-14931 ""Research on Biopsychosocial Factors of Social Connectedness and Isolation on Health, Wellbeing, Illness, and Recovery (R01 Basic Experimental Studies with Humans Required)"".",Nationwide,Education,none,"Jun 21, 2024 12:00:00 AM EDT"
The Role of Work in Health Disparities in the U.S. (R01 Clinical Trials Optional),https://grants.gov/search-results-detail/334380,"The purpose of this Funding Opportunity Announcement (FOA) is to support innovative population-based research that can contribute to identifying and characterizing pathways and mechanisms through which work or occupation influences health outcomes and health status among populations with health and/or health care disparities, and how work functions as a social determinant of health.",Nationwide,Education,none,"Sep 07, 2024 12:00:00 AM EDT"
Mentored Quantitative Research Development Award (Parent K25 Independent Clinical Trial Not Allowed),https://grants.gov/search-results-detail/326904,"The purpose of the Mentored Quantitative Research Career Development Award (K25) is to attract to NIH-relevant research those investigators whose quantitative science and engineering research has thus far not been focused primarily on questions of health and disease. The K25 award will provide support and ""protected time"" for a period of supervised study and research for productive professionals with quantitative (e.g., mathematics, statistics, economics, computer science, imaging science, informatics, physics, chemistry) and engineering backgrounds to integrate their expertise with NIH-relevant research. This Funding Opportunity Announcement (FOA) is designed specifically for applicants proposing research that does not involve leading an independent clinical trial, a clinical trial feasibility study, or an ancillary clinical trial. Applicants to this FOA are permitted to propose research experience in a clinical trial led by a mentor or co-mentor. Applicants proposing a clinical trial or an ancillary clinical trial as lead investigator, should apply to the companion FOA ().",Nationwide,Education,none,"May 07, 2024 12:00:00 AM EDT"
Occupational Safety and Health Research (R01),https://grants.gov/search-results-detail/305727,"The purpose of the R01 grant program is (1) to develop an understanding of the risks and conditions associated with occupational diseases and injuries, (2) to explore methods for reducing risks and preventing or minimizing exposure to hazardous conditions in the workplace, and (3) to translate significant scientific findings into prevention practices and products that will effectively reduce work-related illnesses and injuries. The Research Project Grant (R01) supports a discrete, specified, circumscribed project in scientific areas that represent the investigators specific interests and competencies and that fall within the mission of NIOSH.",Nationwide,Health,400000,"Nov 17, 2024 12:00:00 AM EST"
"Enhancing Science, Technology, EnginEering, and Math Educational Diversity (ESTEEMED) Research Education Experiences (R25 Clinical Trial Not Allowed)",https://grants.gov/search-results-detail/347337,"The NIH Research Education Program (R25) supports research education activities in the mission areas of the NIH.  The overarching goal of this R25 program is to support educational activities that encourage individuals from diverse backgrounds, including those from groups underrepresented in the biomedical and behavioral sciences, to pursue further studies or careers in research To accomplish the stated over-arching goal, this FOA will support creative educational activities with a primary focus on:Courses for Skills DevelopmentResearch Experiences",Nationwide,Health,325000,"Jan 17, 2025 12:00:00 AM EST"
BRAIN Initiative: Targeted BRAIN Circuits Projects- TargetedBCP (R01 Clinical Trial Not Allowed),https://grants.gov/search-results-detail/337951,"(Reissue of RFA-NS-18-030) This FOA solicits applications for research projects that use innovative, methodologically-integrated approaches to understand how circuit activity gives rise to mental experience and behavior. The goal is to support projects that can realize a meaningful outcome within 5 years. Applications should address circuit function in the context of specific neural systems such as sensation, perception, attention, reasoning, intention, decision-making, emotion, navigation, communication or homeostasis. Projects should link theory and data analysis to experimental design and should produce predictive models as deliverables. Projects should aim to improve the understanding of circuits of the central nervous system by systematically controlling stimuli and/or behavior while actively recording and/or manipulating dynamic patterns of neural activity.  Projects can use non-human and human species, and applications should explain how the selected species offers ideal conditions for revealing general principles about the circuit basis of a specific behavior.",Nationwide,Education,none,"Oct 02, 2024 12:00:00 AM EDT"
Intervention Research to Improve Native American Health (R21 Clinical Trials Optional),https://grants.gov/search-results-detail/350161,"The purpose of this funding opportunity announcement (FOA) is to support developmental/exploratory studies in preparation for health promotion, disease prevention, treatment, or treatment services research to improve health in Native American (NA) populations.  Applications may include 1) etiologic research, where there is a significant gap in knowledge, that will directly inform intervention development or adaptations, 2) research to develop and pilot test new or adapted interventions for feasibility, acceptability, and scalability, 3) research to test the short-term efficacy of interventions, 4) where a sufficient body of knowledge on intervention efficacy exists, research on strategies to overcome barriers to the adoption, integration, scale-up, and sustainability of effective interventions.  Existing data suggest that significant acute and chronic disease inequities exist for NA populations.  Concurrently, NA populations experience unique sociopolitical, historical, and environmental stressors and risks that may exacerbate health conditions and/or impact the effectiveness of existing solutions to address the conditions. They also possess unique strengths and resiliencies that can mitigate stressors or inform intervention strategies. Through this announcement, culturally informed exploratory/developmental research is sought that builds upon community knowledge, resources, and resilience to provide foundational knowledge for future science-based, culturally appropriate solutions to reduce morbidity and mortality through identification and remediation of precursors to diseases and disorders and through culturally informed treatment.  For the purposes of this FOA, Native Americans include the following populations: Alaska Natives, American Indians (whose ancestral lands fall at least partially within the U.S. mainland border), and Native Hawaiians.  The term Native Hawaiian means any individual any of whose ancestors were natives, prior to 1778, of the area which",Nationwide,Education,none,"Jan 07, 2027 12:00:00 AM EST"
FY 2023 Regional Technology and Innovation Hub Program Phase 2 Notice of Funding Opportunity,https://grants.gov/search-results-detail/350598,"This is Phase 2 of a two-phase competition. Applications received after this deadline will not be reviewed or considered. Only applicants that EDA Designated as Tech Hubs in Phase 1 will be permitted to apply to Phase 2. Pursuant to section 28(c) of the Stevenson-Wydler Technology Innovation Act of 1980 (15 U.S.C. § 3722a(c)), consortia that EDA Designated as Tech Hubs under the Phase 1 NOFO are eligible applicants under this NOFO. An eligible consortium must include one or more of each of the following: (i) institutions of higher education, which may include Historically Black Colleges and Universities, Tribal Colleges or Universities, and Minority-Serving Institutions; (ii) State, territorial, local, or Tribal governments or other political subdivisions of a State, or a consortium thereof; (iii) industry groups or firms in relevant technology, innovation or manufacturing sectors; (iv) economic development organizations or similar entities focused primarily on improving science, technology, innovation, entrepreneurship, or access to capital; and (v) labor organizations or workforce training organizations. See section A.1.b.iii. for additional requirements related to consortia. See section C.1. of this NOFO for a list of other entities that may also be part of a consortium. Subject to the availability of funds, awards made under this NOFO will seek to strengthen U.S. economic and national security through place-based investments in regions with the assets, resources, capacity, and potential to become globally competitive Tech Hubs, within approximately ten years, in the technologies and industries of the future, and for those industries, companies, and the good jobs they create to start, grow, and remain in the United States. Through this NOFO, EDA will award approximately $50-75 million in implementation grants to each of approximately 5-10 Designated Tech Hubs.",Nationwide,Business and Commerce,150000000,"Feb 29, 2024 12:00:00 AM EST"
Apply For a Grant – WCF - Whatcom Community Foundation,https://whatcomcf.org/receive/apply-for-a-grant/,"In 2024, the YPP team will distribute grants up to $5,000 for nonprofit organizations, schools, Native American Tribes and government agencies that address and work with children and youth (up to age 24) of all races and ethnicities in Whatcom County experiencing mental health challenges and youth homelessness.",Arkansas,Youth Support and Leadership Grants,,
"Office of Elementary and Secondary Education (OESE): Rural, Insular, and Native Achievement Programs:: Alaska Native Education Program, Assistance Listing Number (ALN) 84.356A",https://grants.gov/search-results-detail/350991,"Note: Each funding opportunity description is a synopsis of information in the Federal Register application notice. For specific information about eligibility, please see the official application notice. The official version of this document is the document published in the Federal Register. Free Internet access to the official edition of the Federal Register and the Code of Federal Regulations is available on GPO Access at: http://www.access.gpo.gov/nara/index.html. Please review the official application notice for pre-application and application requirements, application submission information, performance measures, priorities and program contact information.
 
For the addresses for obtaining and submitting an application, please refer to our Revised Common Instructions for Applicants to Department of Education Discretionary Grant Programs, published in the Federal Register on December 7, 2022.
 
              Purpose of Program: The purpose of the ANE program is to support innovative projects that recognize and address the unique educational needs of Alaska Natives. These projects must include the activities authorized under section 6304(a)(2) of the Elementary and Secondary Education Act of 1965, as amended (ESEA), and may include one or more of the activities authorized under section 6304(a)(3) of the ESEA, including, but not limited to, curriculum development, training and professional development, early childhood and parent outreach, and enrichment programs.
 
 
Assistance Listing Number (ALN) 84.356A.",Nationwide,Education,none,"Feb 13, 2024 12:00:00 AM EST"
Transition for Youth with Autism and/or Epilepsy Demonstration Projects,https://grants.gov/search-results-detail/349426,"This notice announces the opportunity to apply for funding under the Transition for Youth with Autism and/or Epilepsy program, which includes the Transition for Youth with Autism and/or Epilepsy Demonstration Projects (DPs) (HRSA-24-042) and the National Coordinating Center on Transition (NCCT) (HRSA-24-041). The purpose of this program is to develop and advance national, state, and local/community-level frameworks that support successful transition from child to adult serving systems for youth with autism and/or epilepsy who have complex health and social needs and require a higher level of family support and coordination (YAES). This announcement includes instructions for applying to two separate awards. You may only apply for HRSA-24-042 (DPs) or HRSA-24-041 (NCCT), but not both projects. HRSA will not consider funding applicants who apply to more than one funding opportunity number or focus areas.",Nationwide,Health,450000,"Mar 11, 2024 12:00:00 AM EDT"
ED Awards $7.6 Million Grant to Georgia State U and Partner Schools to ...,http://www1.campustechnology.com/Articles/2024/01/29/ED-Awards-7-6-Million-Grant-to-Georgia-State-U-and-Partner-Schools.aspx,"Georgia State University's (GSU) National Institute for Student Success (NISS) has received a $7.6 million grant from the U.S. Department of Education (ED)'s Postsecondary Student Success Program to study how chatbots affect student outcomes at GSU, its associate institution Perimeter College, and its partner schools, Morgan State University in Maryland, and the University of Central Florida.",Georgia,Technology and Other Research Grants,,
Featured news and headlines | KU News,https://news.ku.edu/news/article/2024-international-travel-grants-open-for-faculty-and-graduate-students,"2024 Graduate Student Grants. The International Enhancement Grant provides up to $1,000 in travel expenses for graduate students to pursue relevant semester or summerlong internationally focused academic or training opportunities in Africa or Latin America that enhance their degree programs at KU. This grant supports directed, off-campus ...",Kansas,Graduate School Student Grants,,
Nurse Faculty Loan Program (NFLP),https://grants.gov/search-results-detail/349134,"This notice announces the opportunity to apply for funding under the Nurse Faculty Loan Program (NFLP). The NFLP program seeks to increase the number of qualified nursing faculty nationwide by providing low interest loans for individuals studying to be nurse faculty and loan cancelation for those who then go on to work as faculty. A robust, geographically dispersed nurse faculty workforce is essential to producing the nursing workforce needed to meet US health care needs. Successful applicants establish and operate a student loan program including maintaining a fund, providing loans to students enrolled in advanced education nursing degree programs, and monitoring compliance with program requirements. In exchange for completion of up to four years of post-graduation full-time nurse faculty employment in an accredited school of nursing, graduates receive cancellation of up to 85 percent of the original student loan amount (plus interest thereon) as authorized by the program. Advance Practice Registered Nurses (APRNs) who serve as full-time preceptors within an academic-practice partnership framework are considered faculty under the NFLP, to support the expansion of clinical training opportunities for nursing students. For more details, see Program Requirements and Expectations.",Nationwide,Health,0,"Feb 12, 2024 12:00:00 AM EST"
2025-2026 STEM Scale-Up Program Provider Request for ... - Iowa STEM,https://iowastem.org/scaleup-provider-application,"The STEM Scale-Up Program of the Iowa Governor’s STEM Advisory Council is a signature investment of state and private funds in students and educators with ample accumulated evidence of effect. The Council’s intention is to bring top STEM education opportunities to all learners, especially those historically underserved. The intent is to seed, jumpstart or expand little-known",Iowa,Educators and Educational Institutions Grants,,
30 Arkansas Scholarships to Apply for in 2024,https://scholaroo.com/arkansas-scholarships/,"10 of the best scholarships in Arkansas 2023. There are plenty of scholarships available for Arkansas students with a total award amount of almost $83,000. These are the 10 best scholarships you could apply for based on the possible award you can receive. Scholarship.",Mississippi,Graduate School Student Grants,,
Dwight David Eisenhower Transportation Fellowship Program (DDETFP) Graduate Fellowship,https://grants.gov/search-results-detail/352092,"The DDETFP Graduate Fellowship provides funding for students to pursue master’s or doctoral degrees in transportation-related disciplines. The goals of these Grants are to 1) attract the Nation's brightest minds to the field of transportation, 2) enhance the careers of transportation professionals by encouraging them to seek advanced degrees, and 3) bring and retain top talent in the transportation industry of the U.S.
NOTE: ""RELATED DOCUMENTS"" tab includes full NOFO, attachment, and application instructions for applying through TFICS.",Nationwide,Education,35500,"Mar 22, 2024 12:00:00 AM EDT"
"FY2024 National Aquaculture Initiative: Enhancing Production of Coastal, Marine, and Great Lakes Aquaculture Species",https://grants.gov/search-results-detail/351366,"The National Sea Grant College Program was enacted by the U.S. Congress in 1966 (amended in 2020, Public Law 116-221) to support leveraged federal and state partnerships that harness the intellectual capacity of the nation’s universities and research institutions to solve problems and generate opportunities in coastal communities.
Subject to the availability of funding, Sea Grant anticipates $5,000,000 to $6,000,000 will be available for research projects and programs that will develop and refine methods, protocols, techniques, and/or strategies to enhance the production (e.g. performance, growth, survival, yield) of one or more life stages of aquaculture species (described below) with the overall goal of improving the efficiency, output, and profitability of commercial coastal, marine, or Great Lakes region aquaculture businesses. Successful proposals will address topical needs (described below) and integrate research and extension. Proposals are sought that will support broad, non-proprietary research to address issues and/or barriers to aquaculture production; make that information available to aquaculture businesses; and preferably include participation and involvement of Sea Grant extension personnel and industry stakeholders. These investments are consistent with Sea Grant’s focus area of Sustainable Fisheries and Aquaculture (SFA) and the Sea Grant Network’s 10-year Aquaculture Vision, both which support NOAA and Department of Commerce aquaculture goals.This opportunity is open to: any individual; any public or private corporation, partnership, or other association or entity (including any Sea Grant College, Sea Grant Institute or other institution); or any State, political subdivision of a State, Tribal government or agency or officer thereof. Federal agencies and their personnel are not permitted to receive federal funding under this competition; however, federal scientists and other employees can serve as uncompensated partners or co-Principal Investigators on applications. Federal labs and offices can also make available specialized expertise, facilities or equipment to applicants but cannot be compensated under this competition for their use, nor can the value of such assets be used as match.
This document sets out requirements for submitting to NOAA-OAR-SG-2024-24677. ",Nationwide,Business and Commerce,1200000,"Apr 03, 2024 12:00:00 AM EDT"
RESEARCH GRANTS 2023-2024,https://www.icrfonline.org/wp-content/uploads/2024/02/2023-Grants-List-Table-as-of-12-26-2023-final.pdf,"For the 2023 / 2024 funding year, ICRF is supporting 83 grants valued at $5,500,000. This is broken down as follows: 2 Aging and Cancer International Collaboration Grants. 1 Pediatric Sarcoma International Collaboration Grant. 1 Clinic and Laboratory Integration Program (CLIP) Grant. 2 ICRF-Conquer Cancer Career Development Awards.",Louisiana,Medical Research Grants,,
Youth Entrepreneurship Support Hub (YES - Hub) on LinkedIn: 2024 Young ...,https://www.linkedin.com/posts/youth-entrepreneurship-support-hub-yes-hub_2024-young-change-makers-fellowship-application-activity-7159548681547886592-RgaU,"2024 Young Change Makers Fellowship Application We are looking for young social changemakers, between the ages of 18 and 25, who are leading or are part of…",Arkansas,Youth Support and Leadership Grants,,
Information and Practice Needs Relevant to Late Talking Children (R21 Clinical Trial Not Allowed),https://grants.gov/search-results-detail/350643,"The National Institutes of Health (NIH) Tackling Acquisition of Language in Kids (TALK) initiative seeks to support activities to better understand early language learning and delay. NIH TALK invites applications for research projects that aim to better understand the information and practice needs of caregivers, professionals, and other invested parties who support late talking children and to determine whether those needs are being effectively met. Community engaged research combined with rigorous qualitative research and diverse perspectives is needed to enrich our understanding of how to get state-of-the-science information and practice to those who need it most to guide decisions about late talking children.",Nationwide,Health,275000,"Nov 19, 2024 12:00:00 AM EST"
Laboratories to Optimize Digital Health (R01 Clinical Trial Required),https://grants.gov/search-results-detail/345270,"NIMH seeks applications for innovative research projects to test strategies to increase the reach, efficiency, effectiveness, and quality of digital mental health interventions. This FOA is intended to support the development of digital health test beds that leverage well-established digital mental health platforms,to rapidly refine and optimize existing evidence-based digital health interventions and conduct clinical trials testing digital mental health interventions that are statistically powered to provide a definitive answer regarding the intervention's effectiveness.",Nationwide,Health,none,"Mar 05, 2025 12:00:00 AM EST"
Tribal Management Grant Program,https://grants.gov/search-results-detail/349569,"The purpose of this program is to enhance and develop health management infrastructure and assist Tribes and Tribal Organizations (T/TO) in assuming all or part of existing Indian Health Service (IHS) programs, functions, services, and activities (PFSAs) through a title I Indian Self-Determination and Education Assistance Act (ISDEAA) contract and assist established title I ISDEAA contractors and title V ISDEAA compactors to further develop and improve management capability. In addition, Tribal Management Grants are available to T/TOs under the authority of 25 U.S.C. 5322(e) for the following: 1. Obtaining technical assistance from providers designated by the T/TO (including T/TOs that operate mature contracts) for the purposes of program planning and evaluation, including the development of any management systems necessary for contract management, and the development of cost allocation plans for indirect cost rates. 2. Planning, designing, monitoring, and evaluating Federal programs serving T/TOs, including Federal administrative functions.",Nationwide,Health,150000,"Mar 14, 2024 12:00:00 AM EDT"
NIDA Research Education Program for Clinical Researchers and Clinicians (R25 Clinical Trial Not Allowed),https://grants.gov/search-results-detail/335527,"The NIH Research Education Program (R25) supports research education activities in the mission areas of the NIH.  The over-arching goal of this NIDA R25 program is to support educational activities that complement and/or enhance the training of a workforce to meet the nations biomedical, behavioral and clinical research needs. This FOA is intended to support research education activities that enhance the knowledge of substance use and substance use disorder research. The program is intended for those in clinically focused careers and/or those training for careers as clinicians/health service providers, clinical researchers, or optimally a combination of the two. This mechanism may not be used to support non-research-related clinical training.",Nationwide,Education,350000,"Aug 09, 2024 12:00:00 AM EDT"
Addressing HIV in Highest Risk Sexual and Gender Minorities (R01 Clinical Trial Optional),https://grants.gov/search-results-detail/349638,"Substance use needs to be better incorporated into interventions for the engagement and retention of sexual minority persons in prevention and care with attention to emergent interventions such as long-acting PrEP. Social determinants of health associated with HIV and problematic substance use such as homelessness and criminal justice involvement also demonstrate disproportionate impact among sexual and gender minorities and need attention. Changing self-definition of sexual minority status has implications for outreach and provider stigma and needs to be better integrated into interventions. This initiative will address these gap areas and support epidemiologic, intervention, and implementation research that incorporates attention to HIV as a syndemic including comorbidities such as STIs, HCV, and psychiatric disorder.",Nationwide,Education,500000,"Aug 14, 2024 12:00:00 AM EDT"
Initiative to Maximize Research Education in Genomics:  Diversity Action Plan (R25 Clinical Trials Not Allowed),https://grants.gov/search-results-detail/350036,"The purpose of this Notice is to alert the community that NHGRI plans to publish a Funding Opportunity Announcement (FOA) to transform NHGRIs Diversity Action Plan (R25 Clinical Trials Not Allowed) to better align with more recent NHGRI and NIH-wide efforts to increase workforce diversity. 
Individuals from diverse backgrounds are needed to address research challenges and opportunities in genome sciences, genomic medicine, genomics and society, data science, and health equity research. To build on the remarkable metamorphosis of the field of genomics over the last three decades, enhancing the diversity of the genomics workforce must be embraced as an urgent priority. Toward that end, NHGRI recently developed an action agenda for training, employing, and retaining a genomics workforce that reflects the diversity of the US population. Relevant to its training and career development portfolio, NHGRI is committed to supporting pathways that help diverse groups of individuals develop the skills and knowledge to pursue a career in genomics. 
Recent strategic planning undertaken at NHGRI underscores this commitment, as described in the 2020 NHGRI Strategic Vision, the NHGRI Action Agenda for Building a Diverse Genomic Research Workforce, and the NHGRI Training Task Force Report presented to the National Advisory Council for Human Genome Research in February, 2020.",Nationwide,Health,325000,"Jan 27, 2025 12:00:00 AM EST"
